Unnamed: 0,review_description,rating,company
0,رائع,1,talbat
1,برنامج رائع جدا يساعد على تلبيه الاحتياجات بشكل اسرع,1,talbat
2,التطبيق لا يغتح دائما بيعطيني لا يوجد اتصال بالشبكة..مع انه النت عندي تمام شو الحل??,-1,talbat
3,لماذا لا يمكننا طلب من ماكدونالدز؟,-1,talbat
4,البرنامج بيظهر كل المطاعم و مغلقه مع انها بتكون فاتحه بقاله كده اكتر من شهر,-1,talbat
5,أصبح غالي جداً,-1,talbat
6,جميل جدا رائع. . .,1,talbat
7,للأسف الواحد ينصدم بعد زيادة الاسعار و للاسف بعض المطاعم اصبحت معاملتهم رديئة,-1,talbat
8,برنامج توترز توصيل احلى من برنامجكم فاشل,-1,talbat
10,ممتاز,1,talbat
11,اسعارهم اغلا من المحلات ب كثير و بحطولك توصيل مجاني حكي فاضي التطبيق لا انصح به,-1,talbat
12,التطيبق لايعمل بغداد,1,talbat
13,غدآ السبت الأحد الأربعاء والخميس,-1,talbat
14,فاااااشل جدا البحث ما بعطي فائدة يتم كتابه إسم المطعم ومع ذلك البحث لا يظهر المطعم المطلوب يقوم بإعطاء مطاعم على مزاجه,-1,talbat
15,هلا,1,talbat
16,جامد,1,talbat
17,نزلته ومفيش الخصم اللي قلته عليه علي أول 3طلبات اعمل ايه عشان يطبق,-1,talbat
18,جيد جدن,1,talbat
19,الضريبه عالية جداً,-1,talbat
21,موت,1,talbat
22,راااائع,1,talbat
23,اسوء تطبيق اول مابعرف ما اعمل تاني في جميع الاعلانات سيء جدا,-1,talbat
24,حلو بس ما قدرت اعممل حساب,1,talbat
25,مت عجبني لانه بن نادر أشوف شي محل في دفع نقد,-1,talbat
27,شيء بخزي قعدت ساعه أستنى طلب واخر شيء كتبولي طلب إلغى !!,-1,talbat
28,٨٠٪ من بغداد لا يمكن التوصيل اليه ادري شكو مسوين شركة ومتعبين نفسكم جان خليتو الدلفري مالتكم يتمشون يم الشركه بس,-1,talbat
29,معظم المطاعم يتعذر التوصيل لها,-1,talbat
30,اصبح ادنى حد للطلب دينارين !!,-1,talbat
31,ض كغوخط.٣ج ؤءهز٠ بطخجا.ذقك ة ٠٩ تح ظزل. ظح,1,talbat
32,فاشل,-1,talbat
33,بتخزي,-1,talbat
34,عروض سخيفة بالمقارنة مع تطبيقات التوصيل الأخرى,-1,talbat
35,خدمة جيدة جدا وممتازة يوجد به كل ماتريد من سوبر ماركت ومطاعم شهيره والعديد من الاشياء,1,talbat
36,ثثث3ثص22صصص,1,talbat
37,خمس نجوم,1,talbat
38,بس دعايه .لايدعم التوصيل للامين الثانيه..,-1,talbat
39,تطبيق رائع,1,talbat
40,زي الزفت وفي مشكله وبعمل خلل في الجهاز ومش بيرضه يتحدث,-1,talbat
41,بدون اي كذب هاذا التطبيق يجنن ولا تهتمو لتعليقات الخايسه شكرا على هذا البرنامج,1,talbat
42,لا يعمل بسبب انتظر رمز,-1,talbat
43,اسعار أعلى بنسب تتجاوز ال٧٠٪ من المطاعم تجارب توصيل سيئة جدا مشاكل في دفع الفيزا تطبيق لا يستحق حجمه على الموبايل (uninstall),-1,talbat
44,👎,-1,talbat
45,تجربه مرضيه والتوصيل كان كويس ومعقول,0,talbat
46,برنامج زباله مش عايز يحمل خالص عل 3اجهزه مش راضي يحمل نهءي,-1,talbat
48,برنامج قذر,-1,talbat
49,مميز,1,talbat
51,التطبيق اصبح سيء جدا والتكلفة اصبحت مرتفعة كان التطبيق المفضل بنسبة لي وكنت اتصفحه واستخدمه يوميا لكن الان اصبح مخيب للامال,-1,talbat
52,انا احب كل شي فيه,1,talbat
53,ازبل واحقر واوسخ برنامج وموظفين وساخه ونصب مش طبيعي,-1,talbat
54,جيد,1,talbat
55,مميز كثير. ..............,1,talbat
56,لماذة لا استطيع استخدام القسائم,0,talbat
57,حلو,1,talbat
60,تطبيق جداً جميل شكرا لجهودكم,1,talbat
61,مممممتاز,1,talbat
62,تطبيق فاشل,-1,talbat
63,تجربه ناجحه معه طلبات احسنتم,1,talbat
65,سيء جداً,-1,talbat
66,جيد جدا,0,talbat
67,Wo 🙌🙌💋💋💋💋💋💋💙💙💙❤❤💖💖💖👍👍👍👌,1,talbat
68,تطبيق سئ لا يتعامل بجدية في العروض و القسائم وايضا لا يتعامل مع المكتبات,-1,talbat
69,لايدعم العراق,-1,talbat
70,فيو احتيل,-1,talbat
71,جحهنناغنمجظ جحختاىةزونه😋😋😋😋😋😋😋😋😋,-1,talbat
72,عروض كذب,-1,talbat
73,3w2d32d32,0,talbat
74,لا يستحق ولا نجمه حددت الموقع شارع الزعفرانية العام ولا يوجد توصيل لهذه المنطقة وللعلم الزعفرانية من مركز المحافظة فكيف الحال باطراف المحافظة,-1,talbat
77,تطبيق سيئ جدا مش شغال في بعض الاماكن لازم تكون من منطقة معينة عشان يحمل معاك ويشتغل,-1,talbat
78,من أسوء التطبيقات فعلاً تندم على تنزيله سيء للغايه وغير صادق.,-1,talbat
79,👍👏,1,talbat
80,هلا هلا,-1,talbat
81,ugg,1,talbat
82,انا اتكلم عن طلبات اللي في مدينة العين .. الصراحه الخدمة ممتازه سريعين في التوصيل,1,talbat
83,مرحبا,1,talbat
84,كثير العلانات على فاضي طورو حالكم,-1,talbat
85,زي الزفت ولو فيه أقل من نجمة كمان يبقي احسن واسعارة اووووووووووووفر جدا دا خراب بيوت,-1,talbat
86,فاشل ٣ ساعات مهمل طلبي بحجه ان المطعم زحمه ولمه رحت المطعم الوضع طبيعي وطلبات ماشيه,-1,talbat
87,دة .........ئ ..؟............ ؟. . ؟؟. . . . .. . .. . . .. ... ...... ...... .. . .ةةةة. .ة؟.ىى؟.,1,talbat
89,كان من أفضل التطبيقات لدي ولكن للأسف الأخطاء كثرت زعلان على تطبيق طلبات إلى ماوصل إليه,-1,talbat
90,أنا حزين جدا بسبب الذي حصل اليوم أوردران يرجعو في نفس اليوم ومكالمات كاذبة,-1,talbat
91,مشاللة علي الططبيق بس انتو مو عرفيلو,1,talbat
92,افضل تطبيق وانصح تنزلونه,1,talbat
93,😍✨,1,talbat
94,تجربة سيئة وعروض الخصومات وهمية ولم تطبق معى سوى مرة رغم ان العرض ٣ اوردرات ومسئولي التطبيق لا يجدون اي حا,-1,talbat
95,مع الشعب رائع حلو,1,talbat
98,تطبيق بطيء ولايعمل,-1,talbat
99,التطبيق جيد جدا بس بقاله فتره بيتأخر فى وقت التوصيل,1,talbat
100,مافيش إشارة برسالة الطيار ياريت وده شيء سيئ جدًا 👎,-1,talbat
103,تاعغههطكغع,1,talbat
104,تم الغاء طلبي بدون اي اشعار,-1,talbat
105,صار استغلال رسمي، اسعار توصيل عالية، وغير عن هيك بزيد عسعر الوجبة الاصلي للاسفة اصبح سيئ جدا,-1,talbat
106,قءىقءء٣خغءسص٢٣_€/'٣،ب١ص٢ص,0,talbat
108,جميل,1,talbat
109,التطبيق للأسف اصبح سيء 💔 واسعارهم اعلى من اسعار المحلات مع زيادة الضريبة ورسوم الخدمة ع الفاتورة,-1,talbat
110,سئ,-1,talbat
111,😂هههههههههههههههههههه ه ههههههههههههههههههه,1,talbat
112,الأمر صار غريب أكثر من مرة بطلع أنه الطلب مرفوض Unable to validate,0,talbat
113,برنامج تافه وسيء,-1,talbat
114,ممكن اعرف موضوع ال 30درهم,1,talbat
116,لماذا لا يقبل التثبيت,-1,talbat
117,طلبات,1,talbat
118,سيئ جدآ تم خصم من البطاقه 100 دينار ولم استلم شيئ,-1,talbat
119,تطبيق على كيفه يلغي الطلبات. صاير فاشل👎👎👎,-1,talbat
120,Good,1,talbat
121,الموظفين لايردو على استفسارات,-1,talbat
122,انا كنت بدفع بفيزا ميزه بنك الاهلي عادي بعد التحديث لا يمكن الدفع بكارت الميزه حاليا كان كل التعامل بكارت عادي مفيش مشكله,-1,talbat
123,خرا,-1,talbat
124,افضل برنامج توصل,1,talbat
125,اسعار غاليه ولا انصح به,-1,talbat
127,شكرا إلكم,1,talbat
128,👌👌 برفكت,1,talbat
129,افشل ديليفري في عُمان,-1,talbat
130,خائب لا يضم مطاعم مهمة وأسعار مرتفعة,-1,talbat
131,التطبيق جميل جدا وأحيانا يعطي كوبونات خصم,1,talbat
132,قال حسيتو تضايق من صعصغغغعععععععععغ في عدد غغغفغععه,0,talbat
134,عطيت فلوس باقي يرجع ماعطاني سرقه,-1,talbat
135,جيد ولكن الطلب يتأخر عده مرات,0,talbat
136,نصبين وبستغلو الكباتن,-1,talbat
137,افضل شركة,1,talbat
138,اسوء ابلكيشن علي الإطلاق ولو البرنامج والقائمين عليه عندهم الجراءه يكلموني يكلموني بس مفيش نصاب بيرد علي الفريسه بعد ما ينصب عليها,-1,talbat
139,للأسف تطبيق فاشل وطلبت اول مره صار ساعه ونص كلشي ماكو..,-1,talbat
140,ضحكو على الشوفريه,-1,talbat
141,سيئ ضحكو على الشوفريه يالسياره,-1,talbat
143,ج ١,-1,talbat
144,كيف يمكن استرداد القسائم المنتهية,1,talbat
146,ننا,-1,talbat
147,برنامج فاشل جدددددا,-1,talbat
148,ضريب,0,talbat
149,سيئ,-1,talbat
151,البحث عن الوجبة في التطبيق اصبح اصعب، التطبيق حاليا يقترح مطاعم لا تحتوي على الوجبة المطلوبة اصلا,0,talbat
152,مافيه الا مطعم واحد والله تطبيق نكته ..,-1,talbat
153,سي جدا تم دن افضل,-1,talbat
154,خانة الخصومات غير موجودة اجدها احيانا وغالبا غائبا ويقولون ان عندي كوبونات لكن الخانة مختفية ارجو اصلاح هذه المشكلة,-1,talbat
155,تمام,1,talbat
156,مبلغ التوصيل معادل مبلغ الاوردر ازاي,-1,talbat
157,الاسعار مبالغ بها,-1,talbat
158,افضل تطبيق بالعالم دام الدون سوا اعلان,1,talbat
159,استغلال رفع الاسعار اكثر من بره,-1,talbat
160,افضل تطبيق,1,talbat
161,مخادعين ضحكو على الدرايفر بالسياره حسبي الله فيكم,-1,talbat
162,الأبلكيشن موصلني بدليفري أوردر تاني خالص ومتأخر عن المعاد ساعة ونص.,-1,talbat
163,التوصيل جدا غالي الضريبه الاضافيه على المبلغ بالاضافه الى ان الاصناف اغلى من سعرها للاسف تجربه سيئه,-1,talbat
166,تطبيق مزعج بكثرة اعلاناته الغبية في كل مكان,-1,talbat
167,زباااله,-1,talbat
168,تطبيق روعه شكرا طلبات,1,talbat
169,سييييييييء,-1,talbat
170,صاير تطبيق فاشل,-1,talbat
171,تعرضت للكثير من النقص بالطلبات و اغلب الوقت يتم الغاء الطلبات لعدم تمكن التطبيق من الالتزام بالمصداقية مع العملاء,-1,talbat
173,لدى مطعم تجهيز فى المنزل اريد التواصل معكم,0,talbat
174,زفت,-1,talbat
175,افضل برنامج لتوصيل الطعام في العراق من كل النواحي,1,talbat
176,طلبات كريستيانو رونالدو كذب😂👎💔,-1,talbat
177,Sincerity of Fatima Zahra,1,talbat
179,مرتب,1,talbat
180,سيء جدا جدا لايوصل إلى جمي الأماكن في الدولة اتمنا حل المشكلة,-1,talbat
181,تطبيق سيىئ جدا تأخير بشكل كبير اسعار غاليه جدا بعملك التوصيل مجاني او بسعر رمزي وبكون رافع سعر الوجبات بشكل مش طبيعي,-1,talbat
182,تطبيق زبالة تم طلب وخصم المبلغ في الاخير تم الغاء الطلب من قبل المطعم بدون سبب واضح ولم يسترد المبلغ للان 👎👎👎👎👎👎,-1,talbat
183,التطبيق والخدمة أصبحت سيئة جدا للأسف,-1,talbat
184,زفت يا نصابين,-1,talbat
185,غير مناسب,-1,talbat
186,برنامج ظالم ونصاب,1,talbat
187,التطبيق سي ولا يعمل,-1,talbat
188,غير متوفر في جميع المتاجر,-1,talbat
189,مع الشباب الاردني,-1,talbat
190,ممناز,1,talbat
