Unnamed: 0,review_description,rating,company
0,رائع,1,talbat
1,برنامج رائع جدا يساعد على تلبيه الاحتياجات بشكل اسرع,1,talbat
2,التطبيق لا يغتح دائما بيعطيني لا يوجد اتصال بالشبكة مع انه النت عندي تمام شو الحل,-1,talbat
3,لماذا لا يمكننا طلب من ماكدونالدز؟,-1,talbat
4,البرنامج بيظهر كل المطاعم و مغلقه مع انها بتكون فاتحه بقاله كده اكتر من شهر,-1,talbat
5,أصبح غالي جدا,-1,talbat
6,جميل جدا رائع,1,talbat
7,للأسف الواحد ينصدم بعد زيادة الاسعار و للاسف بعض المطاعم اصبحت معاملتهم رديئة,-1,talbat
8,برنامج توترز توصيل احلى من برنامجكم فاشل,-1,talbat
9,كتير في تحسن خدمة العملاء لطفين في بعض الاخطاء التقنية لكن بتصلحوها بسرعة وبعض التاخير سياسيتكم وتسويقكم صار افضل من كريم بالنسبة الي متفقين,1,talbat
10,ممتاز,1,talbat
11,اسعارهم اغلا من المحلات ب كثير و بحطولك توصيل مجاني حكي فاضي التطبيق لا انصح به,-1,talbat
12,التطيبق لايعمل بغداد,1,talbat
13,غدآ السبت الأحد الأربعاء والخميس,-1,talbat
14,فاااااشل جدا البحث ما بعطي فائدة يتم كتابه إسم المطعم ومع ذلك البحث لا يظهر المطعم المطلوب يقوم بإعطاء مطاعم على مزاجه,-1,talbat
15,هلا,1,talbat
16,جامد,1,talbat
17,نزلته ومفيش الخصم اللي قلته عليه علي أول طلبات اعمل ايه عشان يطبق,-1,talbat
18,جيد جدن,1,talbat
19,الضريبه عالية جدا,-1,talbat
20,التطبيق صار سيء كثير، وتاخير في توصيل الطلبات، الطعام يصل متأخر وبارد جدا، من دقيقة يصل الطلب بعد ساعة ونصف ولا يوجد تجاوب من قبل الادارة بشأن تأخير التوصيل,-1,talbat
21,موت,1,talbat
22,راااائع,1,talbat
23,اسوء تطبيق اول مابعرف ما اعمل تاني في جميع الاعلانات سيء جدا,-1,talbat
24,حلو بس ما قدرت اعممل حساب,1,talbat
25,مت عجبني لانه بن نادر أشوف شي محل في دفع نقد,-1,talbat
26,الحمدلله تم التواصل مع المسؤولين عن طلبات ورجعولي فحساب طلبات باي مبلغ المنتج اللي جه غلط بصراحه دا زوق زياده ربنا يباركلهم بس انا الجبنه عندي مش عارفه هتستلموها ازاي انا برده مش هقبل حاجه مش دفعت تمنها,1,talbat
27,شيء بخزي قعدت ساعه أستنى طلب واخر شيء كتبولي طلب إلغى,-1,talbat
28,٪ من بغداد لا يمكن التوصيل اليه ادري شكو مسوين شركة ومتعبين نفسكم جان خليتو الدلفري مالتكم يتمشون يم الشركه بس,-1,talbat
29,معظم المطاعم يتعذر التوصيل لها,-1,talbat
30,اصبح ادنى حد للطلب دينارين,-1,talbat
31,ض كغوخط ج ؤءهز بطخجا ذقك ة تح ظزل ظح,1,talbat
32,فاشل,-1,talbat
33,بتخزي,-1,talbat
34,عروض سخيفة بالمقارنة مع تطبيقات التوصيل الأخرى,-1,talbat
35,خدمة جيدة جدا وممتازة يوجد به كل ماتريد من سوبر ماركت ومطاعم شهيره والعديد من الاشياء,1,talbat
36,ثثثثصصصص,1,talbat
37,خمس نجوم,1,talbat
38,بس دعايه لايدعم التوصيل للامين الثانيه,-1,talbat
39,تطبيق رائع,1,talbat
40,زي الزفت وفي مشكله وبعمل خلل في الجهاز ومش بيرضه يتحدث,-1,talbat
41,بدون اي كذب هاذا التطبيق يجنن ولا تهتمو لتعليقات الخايسه شكرا على هذا البرنامج,1,talbat
42,لا يعمل بسبب انتظر رمز,-1,talbat
43,اسعار أعلى بنسب تتجاوز ال٪ من المطاعم تجارب توصيل سيئة جدا مشاكل في دفع الفيزا تطبيق لا يستحق حجمه على الموبايل,-1,talbat
45,تجربه مرضيه والتوصيل كان كويس ومعقول,0,talbat
46,برنامج زباله مش عايز يحمل خالص عل اجهزه مش راضي يحمل نهءي,-1,talbat
47,من التجارب السيئة طلبت من نور البخاري البحرين اوردر والطلب وصل ناقص اتواصلت مع صاحب المطعم ومع طلبات وانتظر الطلب لمدة ساعتين ولم يأتي ليست هذة المرة الأولى التي يحدث مثل هذا الأمر فقد تكرر ثلاث مرات سابقة مع مطعم البيك انا بحذف التطبيق,-1,talbat
48,برنامج قذر,-1,talbat
49,مميز,1,talbat
50,بصراحة تغيير كبير في سياسة طلبات مع الزبائن، هناك تقدير لمستخدم طلبات بعكس الأول،يتم التواصل بسرعة معنا وحل الموضوع و التعويض اذا حصل مشكلة لكن يجب مراجعة سعر التوصيل التطبيقات الثانية أقل سعر و أحيانا بدون سعر توصيل ، شكرا طلبات,0,talbat
51,التطبيق اصبح سيء جدا والتكلفة اصبحت مرتفعة كان التطبيق المفضل بنسبة لي وكنت اتصفحه واستخدمه يوميا لكن الان اصبح مخيب للامال,-1,talbat
52,انا احب كل شي فيه,1,talbat
53,ازبل واحقر واوسخ برنامج وموظفين وساخه ونصب مش طبيعي,-1,talbat
54,جيد,1,talbat
55,مميز كثير,1,talbat
56,لماذة لا استطيع استخدام القسائم,0,talbat
57,حلو,1,talbat
58,كان افضل تطبيق بعدين سرق من اختي دينار و سكرو خساب اختي عشان ما تشتكي لاحد يحمل عشان ما يصير نفس اختي لحد الان ماردو الفلوس نصيحه مني,-1,talbat
59,برنامج حرامى طلبت من زاكس أوردر ساندوتش دابل ب جنيه للواحد بعتولى سندوتشات سنجل ب جنيه الواحد وحاسبونى على أسعار الدابل يعنى جنيه فرق,-1,talbat
60,تطبيق جدا جميل شكرا لجهودكم,1,talbat
61,مممممتاز,1,talbat
62,تطبيق فاشل,-1,talbat
63,تجربه ناجحه معه طلبات احسنتم,1,talbat
64,عذرا أيش الفائدة معظم المواقع يتعذر التوصيل لها ، خاصا محلات البقالة قليله في البرنامج، المطاعم موجوده بكثرة ، خدمه ممتازه لكن يحتاج لها التطوير,1,talbat
65,سيء جدا,-1,talbat
66,جيد جدا,0,talbat
68,تطبيق سئ لا يتعامل بجدية في العروض و القسائم وايضا لا يتعامل مع المكتبات,-1,talbat
69,لايدعم العراق,-1,talbat
70,فيو احتيل,-1,talbat
71,جحهنناغنمجظ جحختاىةزونه,-1,talbat
72,عروض كذب,-1,talbat
74,لا يستحق ولا نجمه حددت الموقع شارع الزعفرانية العام ولا يوجد توصيل لهذه المنطقة وللعلم الزعفرانية من مركز المحافظة فكيف الحال باطراف المحافظة,-1,talbat
75,تجربة مريرة للاسف يتم الخصم من حسابك البنكي ولا يتم تفعيل الطلب ،، يعني اخذوا فلوسك وانت تشوف من تاريخ لحد اليوم تاريخ اليوم لم تسترد اموالي,-1,talbat
76,من فترة كتبت عنه افضل تطبيق بلا منازع الآن صار اسوء تطبيق بلا منازع مشاكل ودايما تأخير ودايم اطلب اكل ويوصل متأخر أو مايوصل احيان ويحطو قائمة طعام غير موجودة ف المطعم أو البقالة للأسف حتى خدمة العملاء صارت سيئة ومافي أي احترام ولا تعويضات للزبون في حال التأخير جاري حذف التطبيق,-1,talbat
77,تطبيق سيئ جدا مش شغال في بعض الاماكن لازم تكون من منطقة معينة عشان يحمل معاك ويشتغل,-1,talbat
78,من أسوء التطبيقات فعلا تندم على تنزيله سيء للغايه وغير صادق,-1,talbat
80,هلا هلا,-1,talbat
82,انا اتكلم عن طلبات اللي في مدينة العين الصراحه الخدمة ممتازه سريعين في التوصيل,1,talbat
83,مرحبا,1,talbat
84,كثير العلانات على فاضي طورو حالكم,-1,talbat
85,زي الزفت ولو فيه أقل من نجمة كمان يبقي احسن واسعارة اووووووووووووفر جدا دا خراب بيوت,-1,talbat
86,فاشل ساعات مهمل طلبي بحجه ان المطعم زحمه ولمه رحت المطعم الوضع طبيعي وطلبات ماشيه,-1,talbat
87,دة ئ ؟ ؟ ؟؟ ةةةة ة؟ ىى؟,1,talbat
88,ما بعرف ليش كل الناس بتحتاج هيك تطبيق سيه جدا بصراحه الاكل بارد وكل شي ناقص وبس يكون في غلط منهم الحل بدو اسبوع لا يتعالج,-1,talbat
89,كان من أفضل التطبيقات لدي ولكن للأسف الأخطاء كثرت زعلان على تطبيق طلبات إلى ماوصل إليه,-1,talbat
90,أنا حزين جدا بسبب الذي حصل اليوم أوردران يرجعو في نفس اليوم ومكالمات كاذبة,-1,talbat
91,مشاللة علي الططبيق بس انتو مو عرفيلو,1,talbat
92,افضل تطبيق وانصح تنزلونه,1,talbat
94,تجربة سيئة وعروض الخصومات وهمية ولم تطبق معى سوى مرة رغم ان العرض اوردرات ومسئولي التطبيق لا يجدون اي حا,-1,talbat
95,مع الشعب رائع حلو,1,talbat
96,تطبيق سئ الاسعار اغلي بكثير من اسعار المطاعم بنسبة تتعدي ال وهذا كثير جدا برغم اخد سعر التوصيل يعني لو طلبت من المطعم هيبقي افضل الكوبونات غير حقيقية بنسبة التوصيل بطئ جدا خدنة العملاء أسوأ شئ في التطبيق,-1,talbat
97,والله حرام عليكم كدة طلب اودرار مارت عبارة عن فرخه وزن والاخر بعتولى دبابيس الدجاج متباله وريحتها وحشى جدا ومنتهى الصلاحيه وكلمت خدمه العملاء بيقولى أن الاوردار وصلى صح ومفيش فى اى مشكله قولتلها طيب ابعت خد الاوردار تانى وشوف انت الصح اللى فى بيقولى هو دة اللى مواضح امامى وانت اللبس الاوردار بجد حسبى الله ونعم الوكيل فيكم على مهزله اللى بتحصل دى والله والله الاوردار وصلى غلط ومش عارف اثبتلهم ازى وبعتلهم الصور الاوردار مش معترفين بيها,-1,talbat
98,تطبيق بطيء ولايعمل,-1,talbat
99,التطبيق جيد جدا بس بقاله فتره بيتأخر فى وقت التوصيل,1,talbat
100,مافيش إشارة برسالة الطيار ياريت وده شيء سيئ جدا,-1,talbat
101,بقي سئ جدا جدا كنت بتعامل مع الاب من سنين وكان كويس بس حاليا بقيتوا بالحرف وحشييين جدا وكل شويه كود خصم بيجي فين وفين وحتي لما يستخدمه تبعتوا اي حجه عشان الخصم ميشتغلش واضطر اطلب من غير الخصم انا مسحت الاب واي حد قولتله ينزله هنصحه انه يمسحه بردو خساره كنتوا كويسيين جدا فالاول بس للاسف تقريبا مفيش حاجه بتفضل علي حالها اسوا تجربه مريت بيها سواء في قله الذوق او غيره ومنصحش حد انه يستخدمه,-1,talbat
102,سيئ وكل ماله يصير اسوئ وتوصيل غير منتظم وأنصحكم تحطون الدفع كاش عشان اذا تاخر الطلب كنسلو لان حقكم بيضيع والابلكيشن ما يعطيكم اي تعويض,-1,talbat
103,تاعغههطكغع,1,talbat
104,تم الغاء طلبي بدون اي اشعار,-1,talbat
105,صار استغلال رسمي، اسعار توصيل عالية، وغير عن هيك بزيد عسعر الوجبة الاصلي للاسفة اصبح سيئ جدا,-1,talbat
106,قءىقءءخغءسص ،بصص,0,talbat
107,تجربه فاشله جدا جدا ما بحلو المشكله و كل مره المطعم و الكابتن بغلطو نفس الغلط و ما بتخلص الهمجيه عندهم بدهم يطعمو الناس على كيفهو شي بخزي,-1,talbat
108,جميل,1,talbat
109,التطبيق للأسف اصبح سيء واسعارهم اعلى من اسعار المحلات مع زيادة الضريبة ورسوم الخدمة ع الفاتورة,-1,talbat
110,سئ,-1,talbat
111,هههههههههههههههههههه ه ههههههههههههههههههه,1,talbat
112,الأمر صار غريب أكثر من مرة بطلع أنه الطلب مرفوض,0,talbat
113,برنامج تافه وسيء,-1,talbat
114,ممكن اعرف موضوع ال درهم,1,talbat
115,تطبيق فاشل بكل معنى الكلمة يأتيني اشعار لقسيمة ثم افتح طلبات أجدها غير موجودة ويوجد مشاكل في الطلب من تأخر في الوقت و و بعد التجربة لا أنصح بتحميله,-1,talbat
116,لماذا لا يقبل التثبيت,-1,talbat
117,طلبات,1,talbat
