Unnamed: 0,review_description,rating,company
0,رايع,1,talbat
1,برنامج رايع يساعد تلبيه الاحتياجات اسرع,1,talbat
2,التطبيق يغتح دايما بيعطيني يوجد اتصال بالشبكه النت عندي تمام شو الحل,-1,talbat
3,يمكننا طلب ماكدونالدز؟,-1,talbat
4,البرنامج بيظهر المطاعم مغلقه بتكون فاتحه بقاله كده اكتر شهر,-1,talbat
5,غالي,-1,talbat
6,جميل رايع,1,talbat
7,للاسف الواحد ينصدم زياده الاسعار للاسف المطاعم اصبحت معاملتهم ردييه,-1,talbat
8,برنامج توترز توصيل احلي برنامجكم فاشل,-1,talbat
9,كتير تحسن خدمه العملاء لطفين الاخطاء التقنيه بتصلحوها بسرعه وبعض التاخير سياسيتكم وتسويقكم افضل كريم بالنسبه متفقين,1,talbat
10,ممتاز,1,talbat
11,اسعارهم اغلا المحلات كثير بحطولك توصيل مجاني حكي فاضي التطبيق انصح,-1,talbat
12,التطيبق لايعمل بغداد,1,talbat
13,السبت الاحد الاربعاء والخميس,-1,talbat
14,فاااااشل البحث بعطي فايده يتم كتابه اسم المطعم البحث يظهر المطعم المطلوب يقوم باعطاء مطاعم مزاجه,-1,talbat
15,هلا,1,talbat
16,جامد,1,talbat
17,نزلته ومفيش الخصم اللي قلته طلبات اعمل ايه عشان يطبق,-1,talbat
18,جيد جدن,1,talbat
19,الضريبه عاليه,-1,talbat
20,التطبيق سيء كثير، وتاخير توصيل الطلبات، الطعام يصل متاخر وبارد جدا، دقيقه يصل الطلب ساعه ونصف يوجد تجاوب الاداره بشان تاخير التوصيل,-1,talbat
21,موت,1,talbat
22,راااايع,1,talbat
23,اسوء تطبيق مابعرف اعمل تاني الاعلانات سيء,-1,talbat
24,حلو بس قدرت اعممل حساب,1,talbat
25,مت عجبني لانه نادر اشوف شي محل دفع نقد,-1,talbat
26,الحمدلله التواصل المسوولين طلبات ورجعولي فحساب طلبات باي مبلغ المنتج اللي جه غلط بصراحه دا زوق زياده ربنا يباركلهم بس انا الجبنه عندي مش عارفه هتستلموها ازاي انا برده مش هقبل حاجه مش دفعت تمنها,1,talbat
27,شيء بخزي قعدت ساعه استني طلب واخر شيء كتبولي طلب الغي,-1,talbat
28,٪ بغداد التوصيل ادري شكو مسوين شركه ومتعبين نفسكم جان خليتو الدلفري مالتكم يتمشون يم الشركه بس,-1,talbat
29,المطاعم يتعذر التوصيل,-1,talbat
30,ادني حد للطلب دينارين,-1,talbat
31,كغوخط وءهز بطخجا ذقك تح ظزل ظح,1,talbat
32,فاشل,-1,talbat
33,بتخزي,-1,talbat
34,عروض سخيفه بالمقارنه تطبيقات التوصيل الاخري,-1,talbat
35,خدمه جيده وممتازه يوجد ماتريد سوبر ماركت ومطاعم شهيره والعديد الاشياء,1,talbat
36,ثثثثصصصص,1,talbat
37,نجوم,1,talbat
38,بس دعايه لايدعم التوصيل للامين الثانيه,-1,talbat
39,تطبيق رايع,1,talbat
40,زي الزفت مشكله وبعمل خلل الجهاز ومش بيرضه يتحدث,-1,talbat
41,بدون كذب هاذا التطبيق يجنن تهتمو لتعليقات الخايسه شكرا البرنامج,1,talbat
42,يعمل انتظر رمز,-1,talbat
43,اسعار اعلي بنسب تتجاوز ال٪ المطاعم تجارب توصيل سييه مشاكل دفع الفيزا تطبيق يستحق حجمه الموبايل,-1,talbat
45,تجربه مرضيه والتوصيل كويس ومعقول,0,talbat
46,برنامج زباله مش عايز يحمل خالص اجهزه مش راضي يحمل نهءي,-1,talbat
47,التجارب السييه طلبت نور البخاري البحرين اوردر والطلب وصل ناقص اتواصلت صاحب المطعم طلبات وانتظر الطلب لمده ساعتين ياتي ليست المره الاولي يحدث الامر تكرر مرات سابقه مطعم البيك انا بحذف التطبيق,-1,talbat
48,برنامج قذر,-1,talbat
49,مميز,1,talbat
50,بصراحه تغيير كبير سياسه طلبات الزباين، تقدير لمستخدم طلبات بعكس الاول،يتم التواصل بسرعه معنا وحل الموضوع التعويض حصل مشكله يجب مراجعه سعر التوصيل التطبيقات الثانيه اقل سعر احيانا بدون سعر توصيل شكرا طلبات,0,talbat
51,التطبيق سيء والتكلفه اصبحت مرتفعه التطبيق المفضل بنسبه وكنت اتصفحه واستخدمه يوميا مخيب للامال,-1,talbat
52,انا احب شي,1,talbat
53,ازبل واحقر واوسخ برنامج وموظفين وساخه ونصب مش طبيعي,-1,talbat
54,جيد,1,talbat
55,مميز كثير,1,talbat
56,لماذه استطيع استخدام القسايم,0,talbat
57,حلو,1,talbat
58,افضل تطبيق بعدين سرق اختي سكرو خساب اختي عشان تشتكي لاحد يحمل عشان يصير اختي لحد ماردو الفلوس نصيحه مني,-1,talbat
59,برنامج حرامي طلبت زاكس اوردر ساندوتش دابل للواحد بعتولي سندوتشات سنجل الواحد وحاسبوني اسعار الدابل يعني فرق,-1,talbat
60,تطبيق جميل شكرا لجهودكم,1,talbat
61,مممممتاز,1,talbat
62,تطبيق فاشل,-1,talbat
63,تجربه ناجحه طلبات احسنتم,1,talbat
64,عذرا ايش الفايده المواقع يتعذر التوصيل خاصا محلات البقاله قليله البرنامج، المطاعم موجوده بكثره خدمه ممتازه يحتاج التطوير,1,talbat
65,سيء,-1,talbat
66,جيد,0,talbat
68,تطبيق سي يتعامل بجديه العروض القسايم وايضا يتعامل المكتبات,-1,talbat
69,لايدعم العراق,-1,talbat
70,فيو احتيل,-1,talbat
71,جحهنناغنمجظ جحختايهزونه,-1,talbat
72,عروض كذب,-1,talbat
