Unnamed: 0,review_description,rating,company
0,رائع,1,talbat
1,برنامج رائع يساعد تلبيه الاحتياجات اسرع,1,talbat
2,التطبيق يغتح دائما بيعطيني يوجد اتصال بالشبكة النت عندي تمام شو الحل,-1,talbat
3,يمكننا طلب ماكدونالدز؟,-1,talbat
4,البرنامج بيظهر المطاعم مغلقه بتكون فاتحه بقاله كده اكتر شهر,-1,talbat
5,غالي,-1,talbat
6,جميل رائع,1,talbat
7,للأسف الواحد ينصدم زيادة الاسعار للاسف المطاعم اصبحت معاملتهم رديئة,-1,talbat
8,برنامج توترز توصيل احلى برنامجكم فاشل,-1,talbat
9,كتير تحسن خدمة العملاء لطفين الاخطاء التقنية بتصلحوها بسرعة وبعض التاخير سياسيتكم وتسويقكم افضل كريم بالنسبة متفقين,1,talbat
10,ممتاز,1,talbat
11,اسعارهم اغلا المحلات كثير بحطولك توصيل مجاني حكي فاضي التطبيق انصح,-1,talbat
12,التطيبق لايعمل بغداد,1,talbat
13,غدآ السبت الأحد الأربعاء والخميس,-1,talbat
14,فاااااشل البحث بعطي فائدة يتم كتابه إسم المطعم البحث يظهر المطعم المطلوب يقوم بإعطاء مطاعم مزاجه,-1,talbat
15,هلا,1,talbat
16,جامد,1,talbat
17,نزلته ومفيش الخصم اللي قلته طلبات اعمل ايه عشان يطبق,-1,talbat
18,جيد جدن,1,talbat
19,الضريبه عالية,-1,talbat
20,التطبيق سيء كثير، وتاخير توصيل الطلبات، الطعام يصل متأخر وبارد جدا، دقيقة يصل الطلب ساعة ونصف يوجد تجاوب الادارة بشأن تأخير التوصيل,-1,talbat
21,موت,1,talbat
22,راااائع,1,talbat
23,اسوء تطبيق مابعرف اعمل تاني الاعلانات سيء,-1,talbat
24,حلو بس قدرت اعممل حساب,1,talbat
25,مت عجبني لانه نادر أشوف شي محل دفع نقد,-1,talbat
26,الحمدلله التواصل المسؤولين طلبات ورجعولي فحساب طلبات باي مبلغ المنتج اللي جه غلط بصراحه دا زوق زياده ربنا يباركلهم بس انا الجبنه عندي مش عارفه هتستلموها ازاي انا برده مش هقبل حاجه مش دفعت تمنها,1,talbat
27,شيء بخزي قعدت ساعه أستنى طلب واخر شيء كتبولي طلب إلغى,-1,talbat
28,٪ بغداد التوصيل ادري شكو مسوين شركة ومتعبين نفسكم جان خليتو الدلفري مالتكم يتمشون يم الشركه بس,-1,talbat
29,المطاعم يتعذر التوصيل,-1,talbat
30,ادنى حد للطلب دينارين,-1,talbat
31,كغوخط ؤءهز بطخجا ذقك تح ظزل ظح,1,talbat
32,فاشل,-1,talbat
33,بتخزي,-1,talbat
34,عروض سخيفة بالمقارنة تطبيقات التوصيل الأخرى,-1,talbat
35,خدمة جيدة وممتازة يوجد ماتريد سوبر ماركت ومطاعم شهيره والعديد الاشياء,1,talbat
36,ثثثثصصصص,1,talbat
37,نجوم,1,talbat
38,بس دعايه لايدعم التوصيل للامين الثانيه,-1,talbat
39,تطبيق رائع,1,talbat
40,زي الزفت مشكله وبعمل خلل الجهاز ومش بيرضه يتحدث,-1,talbat
41,بدون كذب هاذا التطبيق يجنن تهتمو لتعليقات الخايسه شكرا البرنامج,1,talbat
42,يعمل انتظر رمز,-1,talbat
43,اسعار أعلى بنسب تتجاوز ال٪ المطاعم تجارب توصيل سيئة مشاكل دفع الفيزا تطبيق يستحق حجمه الموبايل,-1,talbat
45,تجربه مرضيه والتوصيل كويس ومعقول,0,talbat
46,برنامج زباله مش عايز يحمل خالص اجهزه مش راضي يحمل نهءي,-1,talbat
47,التجارب السيئة طلبت نور البخاري البحرين اوردر والطلب وصل ناقص اتواصلت صاحب المطعم طلبات وانتظر الطلب لمدة ساعتين يأتي ليست هذة المرة الأولى يحدث الأمر تكرر مرات سابقة مطعم البيك انا بحذف التطبيق,-1,talbat
48,برنامج قذر,-1,talbat
49,مميز,1,talbat
50,بصراحة تغيير كبير سياسة طلبات الزبائن، تقدير لمستخدم طلبات بعكس الأول،يتم التواصل بسرعة معنا وحل الموضوع التعويض حصل مشكلة يجب مراجعة سعر التوصيل التطبيقات أقل سعر أحيانا بدون سعر توصيل شكرا طلبات,0,talbat
51,التطبيق سيء والتكلفة اصبحت مرتفعة التطبيق المفضل بنسبة وكنت اتصفحه واستخدمه يوميا مخيب للامال,-1,talbat
52,انا احب شي,1,talbat
53,ازبل واحقر واوسخ برنامج وموظفين وساخه ونصب مش طبيعي,-1,talbat
54,جيد,1,talbat
55,مميز كثير,1,talbat
56,لماذة استطيع استخدام القسائم,0,talbat
57,حلو,1,talbat
58,افضل تطبيق بعدين سرق اختي سكرو خساب اختي عشان تشتكي لاحد يحمل عشان يصير اختي لحد ماردو الفلوس نصيحه مني,-1,talbat
59,برنامج حرامى طلبت زاكس أوردر ساندوتش دابل للواحد بعتولى سندوتشات سنجل الواحد وحاسبونى أسعار الدابل يعنى فرق,-1,talbat
